country;region;year;decile;share
Argentina;15 main cities;1992;d1;1,7895876
Argentina;15 main cities;1992;d10;34,12178
Argentina;15 main cities;1992;d2;3,0443568
Argentina;15 main cities;1992;d3;4,1015978
Argentina;15 main cities;1992;d4;5,1351891
Argentina;15 main cities;1992;d5;6,2195916
Argentina;15 main cities;1992;d6;7,6461763
Argentina;15 main cities;1992;d7;9,3936987
Argentina;15 main cities;1992;d8;12,036181
Argentina;15 main cities;1992;d9;16,511839
Argentina;15 main cities;1992;ratio_10_1;19,055777
Argentina;15 main cities;1993;d1;1,6636386
Argentina;15 main cities;1993;d10;33,040504
Argentina;15 main cities;1993;d2;3,0172698
Argentina;15 main cities;1993;d3;4,1365824
Argentina;15 main cities;1993;d4;5,2320261
Argentina;15 main cities;1993;d5;6,427146
Argentina;15 main cities;1993;d6;7,8901811
Argentina;15 main cities;1993;d7;9,6560774
Argentina;15 main cities;1993;d8;12,300373
Argentina;15 main cities;1993;d9;16,636202
Argentina;15 main cities;1993;ratio_10_1;19,846268
Argentina;15 main cities;1994;d1;1,7459918
Argentina;15 main cities;1994;d10;34,215008
Argentina;15 main cities;1994;d2;2,9417427
Argentina;15 main cities;1994;d3;4,0118008
Argentina;15 main cities;1994;d4;5,0919552
Argentina;15 main cities;1994;d5;6,3215108
Argentina;15 main cities;1994;d6;7,7116647
Argentina;15 main cities;1994;d7;9,4786329
Argentina;15 main cities;1994;d8;12,049682
Argentina;15 main cities;1994;d9;16,432013
Argentina;15 main cities;1994;ratio_10_1;19,596169
Argentina;15 main cities;1995;d1;1,4236557
Argentina;15 main cities;1995;d10;36,664745
Argentina;15 main cities;1995;d2;2,7241399
Argentina;15 main cities;1995;d3;3,7470069
Argentina;15 main cities;1995;d4;4,7580333
Argentina;15 main cities;1995;d5;5,9498758
Argentina;15 main cities;1995;d6;7,3408179
Argentina;15 main cities;1995;d7;9,0478306
Argentina;15 main cities;1995;d8;11,631355
Argentina;15 main cities;1995;d9;16,71254
Argentina;15 main cities;1995;ratio_10_1;25,727472
Argentina;15 main cities;1996;d1;1,3781022
Argentina;15 main cities;1996;d10;36,497799
Argentina;15 main cities;1996;d2;2,6062393
Argentina;15 main cities;1996;d3;3,6358089
Argentina;15 main cities;1996;d4;4,6872048
