country;region;year;indicator;value
Argentina;15 main cities;1992;a1;0,29859278
Argentina;15 main cities;1992;a2;0,51014531
Argentina;15 main cities;1992;cv;1,1002382
Argentina;15 main cities;1992;e0;0,35436226
Argentina;15 main cities;1992;gini;0,45016465
Argentina;15 main cities;1992;gini_pci_urban;0,45016465
Argentina;15 main cities;1992;headcount_national_USD2.15;1,6737125
Argentina;15 main cities;1992;headcount_national_USD3.65;4,0890524
Argentina;15 main cities;1992;headcount_national_USD6.85;14,871609
Argentina;15 main cities;1992;headcount_urban_USD2.15;1,6737125
Argentina;15 main cities;1992;headcount_urban_USD3.65;4,0890524
Argentina;15 main cities;1992;headcount_urban_USD6.85;14,871609
Argentina;15 main cities;1992;nbi1_headcount_urban;39,165633
Argentina;15 main cities;1992;theil;0,37013087
Argentina;15 main cities;1992;wolfson;0,41723863
Argentina;15 main cities;1993;a1;0,29638056
Argentina;15 main cities;1993;a2;0,51639105
Argentina;15 main cities;1993;cv;1,0761309
Argentina;15 main cities;1993;e0;0,35172133
Argentina;15 main cities;1993;gini;0,44398238
Argentina;15 main cities;1993;gini_pci_urban;0,44398238
Argentina;15 main cities;1993;headcount_national_USD2.15;1,9766662
Argentina;15 main cities;1993;headcount_national_USD3.65;4,8829387
Argentina;15 main cities;1993;headcount_national_USD6.85;15,070401
Argentina;15 main cities;1993;headcount_urban_USD2.15;1,9766662
Argentina;15 main cities;1993;headcount_urban_USD3.65;4,8829387
Argentina;15 main cities;1993;headcount_urban_USD6.85;15,070401
Argentina;15 main cities;1993;nbi1_headcount_urban;38,688761
Argentina;15 main cities;1993;theil;0,35835345
Argentina;15 main cities;1993;wolfson;0,4148977
Argentina;15 main cities;1994;a1;0,30224823
Argentina;15 main cities;1994;a2;0,50822876
Argentina;15 main cities;1994;cv;1,1118324
Argentina;15 main cities;1994;e0;0,35987992
Argentina;15 main cities;1994;gini;0,45286506
Argentina;15 main cities;1994;gini_pci_urban;0,45286506
Argentina;15 main cities;1994;headcount_national_USD2.15;1,9113266
Argentina;15 main cities;1994;headcount_national_USD3.65;4,4168192
Argentina;15 main cities;1994;headcount_national_USD6.85;15,682352
Argentina;15 main cities;1994;headcount_urban_USD2.15;1,9113266
Argentina;15 main cities;1994;headcount_urban_USD3.65;4,4168192
Argentina;15 main cities;1994;headcount_urban_USD6.85;15,682352
Argentina;15 main cities;1994;nbi1_headcount_urban;38,939854
Argentina;15 main cities;1994;theil;0,3776119
Argentina;15 main cities;1994;wolfson;0,42413595
Argentina;15 main cities;1995;a1;0,34004906
Argentina;15 main cities;1995;a2;0,56897333
Argentina;15 main cities;1995;cv;1,2048236
Argentina;15 main cities;1995;e0;0,41582802
Argentina;15 main cities;1995;gini;0,48123903
Argentina;15 main cities;1995;gini_pci_urban;0,48123903
Argentina;15 main cities;1995;headcount_national_USD2.15;3,8554344
Argentina;15 main cities;1995;headcount_national_USD3.65;7,4007665
Argentina;15 main cities;1995;headcount_national_USD6.85;20,479204
Argentina;15 main cities;1995;headcount_urban_USD2.15;3,8554344
Argentina;15 main cities;1995;headcount_urban_USD3.65;7,4007665
Argentina;15 main cities;1995;headcount_urban_USD6.85;20,479204
Argentina;15 main cities;1995;nbi1_headcount_urban;38,467586
Argentina;15 main cities;1995;theil;0,43027038
Argentina;15 main cities;1995;wolfson;0,43599226
Argentina;15 main cities;1996;a1;0,34900262
Argentina;15 main cities;1996;a2;0,60662453
Argentina;15 main cities;1996;cv;1,2595398
Argentina;15 main cities;1996;e0;0,42939466
Argentina;15 main cities;1996;gini;0,48555801
Argentina;15 main cities;1996;gini_pci_urban;0,48555801
Argentina;15 main cities;1996;headcount_national_USD2.15;4,2175672
Argentina;15 main cities;1996;headcount_national_USD3.65;8,346336
Argentina;15 main cities;1996;headcount_national_USD6.85;22,400961
Argentina;15 main cities;1996;headcount_urban_USD2.15;4,2175672
Argentina;15 main cities;1996;headcount_urban_USD3.65;8,346336
Argentina;15 main cities;1996;headcount_urban_USD6.85;22,400961
Argentina;15 main cities;1996;nbi1_headcount_urban;38,70601
Argentina;15 main cities;1996;theil;0,4417611
Argentina;15 main cities;1996;wolfson;0,45333165
Argentina;15 main cities;1997;a1;0,34598343
Argentina;15 main cities;1997;a2;0,58575757
Argentina;15 main cities;1997;cv;1,14548
Argentina;15 main cities;1997;e0;0,42441297
Argentina;15 main cities;1997;gini;0,48345391
Argentina;15 main cities;1997;gini_pci_urban;0,48345391
Argentina;15 main cities;1997;headcount_national_USD2.15;3,7657508
Argentina;15 main cities;1997;headcount_national_USD3.65;7,8055237
Argentina;15 main cities;1997;headcount_national_USD6.85;21,345517
