country;subsample;region;year;headcount;poverty_line
Argentina;15 main cities;National;1992;1,6737125;USD2.15
Argentina;15 main cities;GBA;1992;1,5089742;USD2.15
Argentina;15 main cities;Pampeana;1992;1,1276481;USD2.15
Argentina;15 main cities;Cuyo;1992;2,9223159;USD2.15
Argentina;15 main cities;NOA;1992;3,8249949;USD2.15
Argentina;15 main cities;Patagonia;1992;2,9570409;USD2.15
Argentina;15 main cities;National;1993;1,9766662;USD2.15
Argentina;15 main cities;GBA;1993;2,0294923;USD2.15
Argentina;15 main cities;Pampeana;1993;1,558557;USD2.15
Argentina;15 main cities;Cuyo;1993;1,7716928;USD2.15
Argentina;15 main cities;NOA;1993;2,9846734;USD2.15
Argentina;15 main cities;Patagonia;1993;1,2787011;USD2.15
Argentina;15 main cities;National;1994;1,9113266;USD2.15
Argentina;15 main cities;GBA;1994;1,6505983;USD2.15
Argentina;15 main cities;Pampeana;1994;2,3600816;USD2.15
Argentina;15 main cities;Cuyo;1994;2,016202;USD2.15
Argentina;15 main cities;NOA;1994;3,2006229;USD2.15
Argentina;15 main cities;Patagonia;1994;3,3255137;USD2.15
Argentina;15 main cities;National;1995;3,8554344;USD2.15
Argentina;15 main cities;GBA;1995;3,5419811;USD2.15
Argentina;15 main cities;Pampeana;1995;4,2468649;USD2.15
Argentina;15 main cities;Cuyo;1995;5,9486162;USD2.15
Argentina;15 main cities;NOA;1995;5,6466548;USD2.15
Argentina;15 main cities;Patagonia;1995;3,0736677;USD2.15
Argentina;15 main cities;National;1996;4,2175672;USD2.15
Argentina;15 main cities;GBA;1996;3,8789261;USD2.15
Argentina;15 main cities;Pampeana;1996;4,7005659;USD2.15
Argentina;15 main cities;Cuyo;1996;5,1730466;USD2.15
Argentina;15 main cities;NOA;1996;6,780235;USD2.15
Argentina;15 main cities;Patagonia;1996;3,4094377;USD2.15
Argentina;15 main cities;National;1997;3,7657508;USD2.15
Argentina;15 main cities;GBA;1997;3,3101773;USD2.15
Argentina;15 main cities;Pampeana;1997;4,8784314;USD2.15
Argentina;15 main cities;Cuyo;1997;4,7359862;USD2.15
Argentina;15 main cities;NOA;1997;6,316905;USD2.15
Argentina;15 main cities;Patagonia;1997;2,5795568;USD2.15
Argentina;15 main cities;National;1998;3,607021;USD2.15
Argentina;15 main cities;GBA;1998;3,3880752;USD2.15
Argentina;15 main cities;Pampeana;1998;3,7539581;USD2.15
Argentina;15 main cities;Cuyo;1998;3,2683572;USD2.15
Argentina;15 main cities;NOA;1998;6,2405518;USD2.15
Argentina;15 main cities;Patagonia;1998;3,043382;USD2.15
Argentina;28 main cities;National;1998;3,9691888;USD2.15
Argentina;28 main cities;GBA;1998;3,3880752;USD2.15
Argentina;28 main cities;Pampeana;1998;4,1698757;USD2.15
Argentina;28 main cities;Cuyo;1998;2,9106515;USD2.15
Argentina;28 main cities;NOA;1998;5,3030222;USD2.15
Argentina;28 main cities;Patagonia;1998;3,043382;USD2.15
Argentina;28 main cities;NEA;1998;8,4837776;USD2.15
Argentina;28 main cities;National;1999;4,1879584;USD2.15
Argentina;28 main cities;GBA;1999;3,3042695;USD2.15
Argentina;28 main cities;Pampeana;1999;4,2660219;USD2.15
Argentina;28 main cities;Cuyo;1999;3,6599259;USD2.15
Argentina;28 main cities;NOA;1999;6,0407375;USD2.15
Argentina;28 main cities;Patagonia;1999;3,8125969;USD2.15
Argentina;28 main cities;NEA;1999;10,027816;USD2.15
Argentina;28 main cities;National;2000;4,9882614;USD2.15
Argentina;28 main cities;GBA;2000;3,5650118;USD2.15
Argentina;28 main cities;Pampeana;2000;5,4225351;USD2.15
Argentina;28 main cities;Cuyo;2000;6,005832;USD2.15
Argentina;28 main cities;NOA;2000;7,3704624;USD2.15
Argentina;28 main cities;Patagonia;2000;3,4567852;USD2.15
Argentina;28 main cities;NEA;2000;12,357441;USD2.15
Argentina;28 main cities;National;2001;8,2347868;USD2.15
Argentina;28 main cities;GBA;2001;6,9245928;USD2.15
Argentina;28 main cities;Pampeana;2001;8,78637;USD2.15
Argentina;28 main cities;Cuyo;2001;8,0862758;USD2.15
Argentina;28 main cities;NOA;2001;10,411071;USD2.15
Argentina;28 main cities;Patagonia;2001;3,7613914;USD2.15
Argentina;28 main cities;NEA;2001;16,972791;USD2.15
Argentina;28 main cities;National;2002;12,447155;USD2.15
Argentina;28 main cities;GBA;2002;11,274402;USD2.15
Argentina;28 main cities;Pampeana;2002;12,300624;USD2.15
Argentina;28 main cities;Cuyo;2002;11,008671;USD2.15
Argentina;28 main cities;NOA;2002;16,592116;USD2.15
Argentina;28 main cities;Patagonia;2002;6,9741099;USD2.15
Argentina;28 main cities;NEA;2002;20,988045;USD2.15
Argentina;28 main cities;National;2003;10,411906;USD2.15
Argentina;28 main cities;GBA;2003;9,1757991;USD2.15
Argentina;28 main cities;Pampeana;2003;11,650848;USD2.15
Argentina;28 main cities;Cuyo;2003;10,080077;USD2.15
Argentina;28 main cities;NOA;2003;12,357686;USD2.15
Argentina;28 main cities;Patagonia;2003;5,4995218;USD2.15
Argentina;28 main cities;NEA;2003;16,132374;USD2.15
Argentina;28 main cities;National;2003;5,3636474;USD2.15
Argentina;28 main cities;GBA;2003;4,5501555;USD2.15
Argentina;28 main cities;Pampeana;2003;5,7055273;USD2.15
Argentina;28 main cities;Cuyo;2003;5,772695;USD2.15
Argentina;28 main cities;NOA;2003;7,7541958;USD2.15
Argentina;28 main cities;Patagonia;2003;1,2661552;USD2.15
Argentina;28 main cities;NEA;2003;10,039195;USD2.15
Argentina;28 main cities;National;2004;4,5778244;USD2.15
Argentina;28 main cities;GBA;2004;3,5622364;USD2.15
Argentina;28 main cities;Pampeana;2004;4,271621;USD2.15
Argentina;28 main cities;Cuyo;2004;5,2237767;USD2.15
Argentina;28 main cities;NOA;2004;9,7342404;USD2.15
Argentina;28 main cities;Patagonia;2004;1,4834286;USD2.15
Argentina;28 main cities;NEA;2004;8,4166514;USD2.15
Argentina;28 main cities;National;2004;3,8789884;USD2.15
Argentina;28 main cities;GBA;2004;3,3336434;USD2.15
Argentina;28 main cities;Pampeana;2004;3,4924753;USD2.15
Argentina;28 main cities;Cuyo;2004;4,1637618;USD2.15
Argentina;28 main cities;NOA;2004;7,3004878;USD2.15
Argentina;28 main cities;Patagonia;2004;1,4759495;USD2.15
Argentina;28 main cities;NEA;2004;6,0351782;USD2.15
Argentina;28 main cities;National;2005;3,1934122;USD2.15
Argentina;28 main cities;GBA;2005;2,507207;USD2.15
Argentina;28 main cities;Pampeana;2005;3,2525157;USD2.15
Argentina;28 main cities;Cuyo;2005;3,1436315;USD2.15
Argentina;28 main cities;NOA;2005;5,6437184;USD2.15
Argentina;28 main cities;Patagonia;2005;1,1334933;USD2.15
Argentina;28 main cities;NEA;2005;6,8015252;USD2.15
Argentina;28 main cities;National;2005;2,68375;USD2.15
Argentina;28 main cities;GBA;2005;1,900591;USD2.15
Argentina;28 main cities;Pampeana;2005;2,921685;USD2.15
Argentina;28 main cities;Cuyo;2005;3,0366988;USD2.15
Argentina;28 main cities;NOA;2005;5,2595622;USD2.15
Argentina;28 main cities;Patagonia;2005;1,367127;USD2.15
Argentina;28 main cities;NEA;2005;5,4371633;USD2.15
Argentina;28 main cities;National;2006;2,6825971;USD2.15
Argentina;28 main cities;GBA;2006;2,2929494;USD2.15
Argentina;28 main cities;Pampeana;2006;2,1195122;USD2.15
Argentina;28 main cities;Cuyo;2006;2,5548452;USD2.15
Argentina;28 main cities;NOA;2006;4,886542;USD2.15
Argentina;28 main cities;Patagonia;2006;0,99532472;USD2.15
Argentina;28 main cities;NEA;2006;6,2326507;USD2.15
Argentina;28 main cities;National;2006;2,1735891;USD2.15
Argentina;28 main cities;GBA;2006;1,9087948;USD2.15
Argentina;28 main cities;Pampeana;2006;1,6615128;USD2.15
Argentina;28 main cities;Cuyo;2006;2,5689213;USD2.15
Argentina;28 main cities;NOA;2006;3,6785431;USD2.15
Argentina;28 main cities;Patagonia;2006;0,82394148;USD2.15
Argentina;28 main cities;NEA;2006;4,9650926;USD2.15
Argentina;28 main cities;National;2007;1,8701652;USD2.15
Argentina;28 main cities;GBA;2007;1,3954791;USD2.15
Argentina;28 main cities;Pampeana;2007;1,5533321;USD2.15
Argentina;28 main cities;Cuyo;2007;1,8312193;USD2.15
Argentina;28 main cities;NOA;2007;3,5274803;USD2.15
Argentina;28 main cities;Patagonia;2007;1,1279913;USD2.15
Argentina;28 main cities;NEA;2007;5,8777705;USD2.15
Argentina;28 main cities;National;2007;1,7975101;USD2.15
Argentina;28 main cities;GBA;2007;1,4725346;USD2.15
Argentina;28 main cities;Pampeana;2007;1,3742107;USD2.15
Argentina;28 main cities;Cuyo;2007;1,8328917;USD2.15
Argentina;28 main cities;NOA;2007;2,8663137;USD2.15
Argentina;28 main cities;Patagonia;2007;0,75282829;USD2.15
Argentina;28 main cities;NEA;2007;5,7069364;USD2.15
Argentina;28 main cities;National;2008;1,8179466;USD2.15
Argentina;28 main cities;GBA;2008;1,5970458;USD2.15
Argentina;28 main cities;Pampeana;2008;1,513744;USD2.15
Argentina;28 main cities;Cuyo;2008;1,3587103;USD2.15
Argentina;28 main cities;NOA;2008;2,9301617;USD2.15
Argentina;28 main cities;Patagonia;2008;0,74982899;USD2.15
Argentina;28 main cities;NEA;2008;4,7268816;USD2.15
Argentina;28 main cities;National;2008;1,6375881;USD2.15
Argentina;28 main cities;GBA;2008;1,3039579;USD2.15
Argentina;28 main cities;Pampeana;2008;1,5811008;USD2.15
Argentina;28 main cities;Cuyo;2008;1,4427661;USD2.15
Argentina;28 main cities;NOA;2008;2,8922769;USD2.15
Argentina;28 main cities;Patagonia;2008;0,49016167;USD2.15
Argentina;28 main cities;NEA;2008;4,0440544;USD2.15
Argentina;28 main cities;National;2009;1,8225918;USD2.15
Argentina;28 main cities;GBA;2009;1,5120015;USD2.15
Argentina;28 main cities;Pampeana;2009;2,1608502;USD2.15
Argentina;28 main cities;Cuyo;2009;1,5063992;USD2.15
Argentina;28 main cities;NOA;2009;2,4823765;USD2.15
Argentina;28 main cities;Patagonia;2009;1,0303283;USD2.15
Argentina;28 main cities;NEA;2009;3,2207907;USD2.15
Argentina;28 main cities;National;2009;1,5534867;USD2.15
Argentina;28 main cities;GBA;2009;1,1576049;USD2.15
Argentina;28 main cities;Pampeana;2009;1,6673561;USD2.15
Argentina;28 main cities;Cuyo;2009;1,819103;USD2.15
Argentina;28 main cities;NOA;2009;2,1500258;USD2.15
Argentina;28 main cities;Patagonia;2009;0,87348621;USD2.15
Argentina;28 main cities;NEA;2009;4,2094652;USD2.15
Argentina;28 main cities;National;2010;0,96846652;USD2.15
Argentina;28 main cities;GBA;2010;0,59778319;USD2.15
Argentina;28 main cities;Pampeana;2010;1,325475;USD2.15
Argentina;28 main cities;Cuyo;2010;0,8995434;USD2.15
Argentina;28 main cities;NOA;2010;1,1834842;USD2.15
Argentina;28 main cities;Patagonia;2010;1,1361598;USD2.15
Argentina;28 main cities;NEA;2010;2,7835987;USD2.15
Argentina;28 main cities;National;2010;0,74654093;USD2.15
Argentina;28 main cities;GBA;2010;0,38480492;USD2.15
Argentina;28 main cities;Pampeana;2010;0,99357079;USD2.15
Argentina;28 main cities;Cuyo;2010;0,97796959;USD2.15
Argentina;28 main cities;NOA;2010;1,4616846;USD2.15
Argentina;28 main cities;Patagonia;2010;0,65215201;USD2.15
Argentina;28 main cities;NEA;2010;1,8467375;USD2.15
Argentina;28 main cities;National;2011;0,87785676;USD2.15
Argentina;28 main cities;GBA;2011;0,88259642;USD2.15
Argentina;28 main cities;Pampeana;2011;0,88188861;USD2.15
Argentina;28 main cities;Cuyo;2011;0,88143506;USD2.15
Argentina;28 main cities;NOA;2011;0,61020865;USD2.15
Argentina;28 main cities;Patagonia;2011;0,70817242;USD2.15
Argentina;28 main cities;NEA;2011;1,4184252;USD2.15
Argentina;28 main cities;National;2011;0,71137696;USD2.15
Argentina;28 main cities;GBA;2011;0,61281459;USD2.15
Argentina;28 main cities;Pampeana;2011;0,70496368;USD2.15
Argentina;28 main cities;Cuyo;2011;0,97861844;USD2.15
Argentina;28 main cities;NOA;2011;0,78724616;USD2.15
Argentina;28 main cities;Patagonia;2011;0,40629006;USD2.15
Argentina;28 main cities;NEA;2011;1,4845271;USD2.15
Argentina;28 main cities;National;2012;0,80520142;USD2.15
Argentina;28 main cities;GBA;2012;0,94039005;USD2.15
Argentina;28 main cities;Pampeana;2012;0,65464092;USD2.15
Argentina;28 main cities;Cuyo;2012;0,29140322;USD2.15
Argentina;28 main cities;NOA;2012;0,92217477;USD2.15
Argentina;28 main cities;Patagonia;2012;0,31219261;USD2.15
Argentina;28 main cities;NEA;2012;0,8046599;USD2.15
Argentina;28 main cities;National;2012;0,64704663;USD2.15
Argentina;28 main cities;GBA;2012;0,6437017;USD2.15
Argentina;28 main cities;Pampeana;2012;0,71563499;USD2.15
Argentina;28 main cities;Cuyo;2012;0,34791505;USD2.15
Argentina;28 main cities;NOA;2012;0,50000615;USD2.15
Argentina;28 main cities;Patagonia;2012;0,57151334;USD2.15
Argentina;28 main cities;NEA;2012;1,0543312;USD2.15
Argentina;28 main cities;National;2013;0,57604997;USD2.15
